"","X","link","title","response","domestic","domestic2","foreign","foreign2"
"342",342,"/movies/?id=georgeofthejungle.htm","George of the Jungle","$174.5","$105.3","60.3%","$69.2","39.7%"
"343",343,"/movies/?id=scream2.htm","Scream 2","$172.4","$101.4","58.8%","$71.0","41.2%"
"344",344,"/movies/?id=contact.htm","Contact","$171.1","$100.9","59.0%","$70.2","41.0%"
"345",345,"/movies/?id=speed2.htm","Speed 2: Cruise Control","$164.5","$48.6","29.5%","$115.9","70.5%"
"346",346,"/movies/?id=alienresurrection.htm","Alien Resurrection","$161.4","$47.8","29.6%","$113.6","70.4%"
"347",347,"/movies/?id=jackal.htm","The Jackal","$159.3","$54.9","34.5%","$104.4","65.5%"
"348",348,"/movies/?id=devilsadvocate.htm","The Devil's Advocate","$152.9","$60.9","39.8%","$92.0","60.2%"
"349",349,"/movies/?id=devilsown.htm","The Devil's Own","$140.8","$42.9","30.4%","$97.9","69.6%"
"350",350,"/movies/?id=anastasia.htm","Anastasia","$139.8","$58.4","41.8%","$81.4","58.2%"
"351",351,"/movies/?id=conspiracytheory.htm","Conspiracy Theory","$137.0","$76.0","55.5%","$61.0","44.5%"
"352",352,"/movies/?id=anaconda.htm","Anaconda","$136.9","$65.9","48.1%","$71.0","51.9%"
"353",353,"/movies/?id=sevenyearsintibet.htm","Seven Years in Tibet","$131.5","$38.0","28.9%","$93.5","71.1%"
"354",354,"/movies/?id=laconfidential.htm","L.A. Confidential","$126.2","$64.6","51.2%","$61.6","48.8%"
"355",355,"/movies/?id=iknowwhatyoudidlastsummer.htm","I Know What You Did Last Summer","$125.6","$72.6","57.8%","$53.0","42.2%"
"356",356,"/movies/?id=donniebrasco.htm","Donnie Brasco","$124.9","$41.9","33.6%","$83.0","66.4%"
"357",357,"/movies/?id=starwars5se.htm","The Empire Strikes Back (Special Edition)","$124.8","$67.6","54.2%","$57.2","45.8%"
"358",358,"/movies/?id=volcano.htm","Volcano","$122.8","$49.3","40.2%","$73.5","59.8%"
"359",359,"/movies/?id=mousehunt.htm","Mouse Hunt","$122.4","$61.9","50.6%","$60.5","49.4%"
"360",360,"/movies/?id=starshiptroopers.htm","Starship Troopers","$121.2","$54.8","45.2%","$66.4","54.8%"
"361",361,"/movies/?id=saint.htm","The Saint","$118.1","$61.4","52.0%","$56.7","48.0%"
"362",362,"/movies/?id=peacemaker.htm","The Peacemaker","$110.5","$41.3","37.4%","$69.2","62.6%"
"363",363,"/movies/?id=game.htm","The Game","$109.4","$48.3","44.2%","$61.1","55.8%"
"364",364,"/movies/?id=starwars6se.htm","Return of the Jedi (Special Edition)","$89.3","$45.5","50.9%","$43.8","49.1%"
"365",365,"/movies/?id=spawn.htm","Spawn","$87.8","$54.9","62.5%","$33.0","37.5%"
"366",366,"/movies/?id=homealone3.htm","Home Alone 3","$79.1","$30.9","39.1%","$48.2","60.9%"
"367",367,"/movies/?id=austinpowers.htm","Austin Powers: International Man of Mystery","$67.7","$53.9","79.6%","$13.8","20.4%"
"368",368,"/movies/?id=wagthedog.htm","Wag the Dog","$64.3","$43.1","67.0%","$21.2","33.0%"
"369",369,"/movies/?id=mortalkombat2.htm","Mortal Kombat: Annihilation","$51.4","$35.9","69.9%","$15.4","30.1%"
"370",370,"/movies/?id=moneytalks.htm","Money Talks","$48.4","$40.9","84.5%","$7.5","15.5%"
"371",371,"/movies/?id=pictureperfect.htm","Picture Perfect","$44.3","$31.4","70.8%","$12.9","29.2%"
"372",372,"/movies/?id=edge.htm","The Edge","$43.3","$27.9","64.4%","$15.4","35.6%"
"373",373,"/movies/?id=boogienights.htm","Boogie Nights","$43.1","$26.4","61.3%","$16.7","38.7%"
"374",374,"/movies/?id=eighthday.htm","The Eighth Day","$33.0","$416k","1.3%","$32.6","98.7%"
"375",375,"/movies/?id=forricherorpoorer.htm","For Richer or Poorer","$32.7","$31.6","96.6%","$1.1","3.4%"
"376",376,"/movies/?id=outtosea.htm","Out to Sea","$30.7","$29.0","94.5%","$1.7","5.5%"
"377",377,"/movies/?id=romymichelleshighschoolreunion.htm","Romy & Michele's High School Reunion","$29.2","$29.2","100.0%","n/a","0.0%"
"378",378,"/movies/?id=firststrike.htm","Jackie Chan's First Strike","$21.9","$15.3","70.0%","$6.6","30.0%"
"379",379,"/movies/?id=boxer.htm","The Boxer","$16.5","$6.0","36.2%","$10.6","63.8%"
"380",380,"/movies/?id=trialanderror.htm","Trial and Error","$14.6","$13.6","93.2%","$996k","6.8%"
"381",381,"/movies/?id=lovejones.htm","Love Jones","$12.8","$12.5","97.6%","$303k","2.4%"
"382",382,"/movies/?id=mostwanted.htm","Most Wanted","$11.8","$6.4","54.0%","$5.4","46.0%"
"383",383,"/movies/?id=turboapowerrangersmovie.htm","Turbo: A Power Rangers Movie","$9.6","$8.4","87.0%","$1.3","13.0%"
"384",384,"/movies/?id=shallwedance97.htm","Shall We Dance?","$9.5","$9.5","100.0%","n/a","0.0%"
"385",385,"/movies/?id=baps.htm","B.A.P.S.","$7.3","$7.2","98.8%","$91.5k","1.2%"
"386",386,"/movies/?id=warriorsofvirtue.htm","Warriors of Virtue","$6.5","$6.5","100.0%","n/a","0.0%"
"387",387,"/movies/?id=dangerousground.htm","Dangerous Ground","$5.4","$5.3","98.1%","$103k","1.9%"
"388",388,"/movies/?id=kissorkill.htm","Kiss or Kill","$797k","$797k","100.0%","n/a","0.0%"
"389",389,"/movies/?id=prisonerofthemountains.htm","Prisoner of the Mountains","$790k","$790k","100.0%","n/a","0.0%"
"390",390,"/movies/?id=irmavep.htm","Irma Vep","$282k","$282k","100.0%","n/a","0.0%"
"391",391,"/movies/?id=truthorconsequencesnm.htm","Truth or Consequences, N.M.","$122k","$109k","89.5%","$12.8k","10.5%"
"392",392,"/movies/?id=armageddon.htm","Armageddon","$553.7","$201.6","36.4%","$352.1","63.6%"
"393",393,"/movies/?id=savingprivateryan.htm","Saving Private Ryan","$481.8","$216.5","44.9%","$265.3","55.1%"
"394",394,"/movies/?id=godzilla.htm","Godzilla","$379.0","$136.3","36.0%","$242.7","64.0%"
"395",395,"/movies/?id=somethingaboutmary.htm","There's Something About Mary","$369.9","$176.5","47.7%","$193.4","52.3%"
"396",396,"/movies/?id=bugslife.htm","A Bug's Life","$363.4","$162.8","44.8%","$200.6","55.2%"
"397",397,"/movies/?id=deepimpact.htm","Deep Impact","$349.5","$140.5","40.2%","$209.0","59.8%"
"398",398,"/movies/?id=mulan.htm","Mulan","$304.3","$120.6","39.6%","$183.7","60.4%"
